1) Domain: http://www.3quarksdaily.com, Url Count: 0
2) Domain: http://www.AirlineReporter.com, Url Count: 1
3) Domain: http://1000awesomethings.com, Url Count: 1
4) Domain: http://www.motleyvision.org, Url Count: 1002
5) Domain: https://www.sbnation.com/, Url Count: 1224
6) Domain: http://balkin.blogspot.com/, Url Count: 1
7) Domain: http://www.blogcritics.org/, Url Count: 0
8) Domain: http://bloggingheads.tv/, Url Count: 1
9) Domain: https://boingboing.net, Url Count: 1
10) Domain: http://www.borderlandbeat.com/, Url Count: 1
11) Domain: https://www.brainblogger.com, Url Count: 0
12) Domain: http://climateaudit.org/, Url Count: 1002
13) Domain: http://www.joshreads.com, Url Count: 1
14) Domain: http://conservativehome.com, Url Count: 0
15) Domain: http://consumerist.com/, Url Count: 1
16) Domain: http://crooksandliars.com, Url Count: 1
17) Domain: http://dailyhowler.blogspot.com/, Url Count: 1
18) Domain: https://deadspin.com, Url Count: 1
19) Domain: http://dlisted.com, Url Count: 0
20) Domain: http://www.durmamelhor.com, Url Count: 1
21) Domain: https://www.engadget.com, Url Count: 19352
22) Domain: http://www.eqmusicblog.com, Url Count: 1
23) Domain: http://facesinplaces.blogspot.com, Url Count: 1
24) Domain: http://slashfilm.com, Url Count: 37
25) Domain: http://www.gamepolitics.com/, Url Count: 1
26) Domain: http://gawker.com, Url Count: 1001
27) Domain: http://www.geenstijl.nl/, Url Count: 1
28) Domain: https://gigaom.com/, Url Count: 0
29) Domain: https://gizmodo.com, Url Count: 1
30) Domain: https://gothamist.com/, Url Count: 24
31) Domain: http://groklaw.net, Url Count: 1
32) Domain: https://hotair.com, Url Count: 1
33) Domain: http://huffpost.com, Url Count: 9398
34) Domain: http://icanhas.cheezburger.com, Url Count: 11
35) Domain: http://www.ivygateblog.com/, Url Count: 0
36) Domain: http://www.joystiq.com/, Url Count: 1
37) Domain: https://jezebel.com/, Url Count: 1
38) Domain: http://jihadwatch.org/, Url Count: 0
39) Domain: https://kotaku.com, Url Count: 1
40) Domain: https://www.lawfareblog.com/, Url Count: 1
41) Domain: https://lifehacker.com/, Url Count: 1
42) Domain: http://littlegreenfootballs.com/, Url Count: 1
43) Domain: http://mashable.com, Url Count: 1
44) Domain: https://www.metafilter.com, Url Count: 1
45) Domain: http://www.metrojacksonville.com, Url Count: 0
46) Domain: http://monstersandcritics.com, Url Count: 178
47) Domain: https://www.mrmoneymustache.com, Url Count: 1
48) Domain: https://web.archive.org/web/*/http://msdn.microsoft.com/, Url Count: 1
49) Domain: http://www.mydd.com, Url Count: 1
50) Domain: http://www.theoildrum.com/, Url Count: 1
51) Domain: https://www.opednews.com, Url Count: 1
52) Domain: http://freethoughtblogs.com/pharyngula, Url Count: 1
53) Domain: http://www.pi-news.net/, Url Count: 0
54) Domain: http://www.popjustice.com, Url Count: 1
55) Domain: http://popsugar.com, Url Count: 1
56) Domain: http://readwrite.com/, Url Count: 0
57) Domain: http://realclimate.org, Url Count: 1
58) Domain: http://retecool.com, Url Count: 1
59) Domain: http://www.thesartorialist.com, Url Count: 1
60) Domain: https://www.scotusblog.com, Url Count: 1
61) Domain: https://seekingalpha.com, Url Count: 1
62) Domain: http://www.senseoncents.com, Url Count: 2335
63) Domain: http://www.simplyrecipes.com/, Url Count: 1
64) Domain: http://www.skattertech.com/, Url Count: 2
65) Domain: http://www.smashingmagazine.com/, Url Count: 6558
66) Domain: http://www.soxaholix.com, Url Count: 1
67) Domain: http://www.survivinggrady.com, Url Count: 1
68) Domain: http://mediabistro.com, Url Count: 1
69) Domain: http://techcrunch.com, Url Count: 90
70) Domain: https://thetehrantimes.tumblr.com, Url Count: 1
71) Domain: https://torrentfreak.com/, Url Count: 1
72) Domain: http://www.underwearexpert.com, Url Count: 1
73) Domain: https://reason.com/volokh/, Url Count: 1
74) Domain: http://waitbutwhy.com, Url Count: 1
75) Domain: https://wattsupwiththat.com/, Url Count: 17
