1) Domain: http://www.3quarksdaily.com, Url Count: 0
2) Domain: http://www.AirlineReporter.com, Url Count: 1001
3) Domain: http://1000awesomethings.com, Url Count: 1
4) Domain: http://www.motleyvision.org, Url Count: 1001
5) Domain: https://www.sbnation.com/, Url Count: 1001
6) Domain: http://balkin.blogspot.com/, Url Count: 1001
7) Domain: http://www.blogcritics.org/, Url Count: 0
8) Domain: http://bloggingheads.tv/, Url Count: 1
9) Domain: https://boingboing.net, Url Count: 1
10) Domain: http://www.borderlandbeat.com/, Url Count: 1001
11) Domain: https://www.brainblogger.com, Url Count: 0
12) Domain: http://climateaudit.org/, Url Count: 1001
13) Domain: http://www.joshreads.com, Url Count: 1
14) Domain: http://conservativehome.com, Url Count: 0
15) Domain: http://consumerist.com/, Url Count: 1
16) Domain: http://crooksandliars.com, Url Count: 1001
17) Domain: http://dailyhowler.blogspot.com/, Url Count: 1001
18) Domain: https://deadspin.com, Url Count: 1001
19) Domain: http://dlisted.com, Url Count: 0
20) Domain: http://www.durmamelhor.com, Url Count: 1
21) Domain: https://www.engadget.com, Url Count: 1001
22) Domain: http://www.eqmusicblog.com, Url Count: 1
23) Domain: http://facesinplaces.blogspot.com, Url Count: 1001
24) Domain: http://slashfilm.com, Url Count: 1001
25) Domain: http://www.gamepolitics.com/, Url Count: 1
26) Domain: http://gawker.com, Url Count: 1001
27) Domain: http://www.geenstijl.nl/, Url Count: 1
28) Domain: https://gigaom.com/, Url Count: 0
29) Domain: https://gizmodo.com, Url Count: 1001
30) Domain: https://gothamist.com/, Url Count: 1001
31) Domain: http://groklaw.net, Url Count: 1
32) Domain: https://hotair.com, Url Count: 1
33) Domain: http://huffpost.com, Url Count: 1001
34) Domain: http://icanhas.cheezburger.com, Url Count: 11
35) Domain: http://www.ivygateblog.com/, Url Count: 0
36) Domain: http://www.joystiq.com/, Url Count: 1
37) Domain: https://jezebel.com/, Url Count: 1001
38) Domain: http://jihadwatch.org/, Url Count: 0
39) Domain: https://kotaku.com, Url Count: 1001
40) Domain: https://www.lawfareblog.com/, Url Count: 1
41) Domain: https://lifehacker.com/, Url Count: 1001
42) Domain: http://littlegreenfootballs.com/, Url Count: 1
43) Domain: http://mashable.com, Url Count: 1
44) Domain: https://www.metafilter.com, Url Count: 1
45) Domain: http://www.metrojacksonville.com, Url Count: 0
46) Domain: http://monstersandcritics.com, Url Count: 1001
47) Domain: https://www.mrmoneymustache.com, Url Count: 1001
48) Domain: https://web.archive.org/web/*/http://msdn.microsoft.com/, Url Count: 1
49) Domain: http://www.mydd.com, Url Count: 1
50) Domain: http://www.theoildrum.com/, Url Count: 1
51) Domain: https://www.opednews.com, Url Count: 1001
52) Domain: http://freethoughtblogs.com/pharyngula, Url Count: 1
53) Domain: http://www.pi-news.net/, Url Count: 0
54) Domain: http://www.popjustice.com, Url Count: 1
55) Domain: http://popsugar.com, Url Count: 1
56) Domain: http://readwrite.com/, Url Count: 0
57) Domain: http://realclimate.org, Url Count: 1
58) Domain: http://retecool.com, Url Count: 1
59) Domain: http://www.thesartorialist.com, Url Count: 1
60) Domain: https://www.scotusblog.com, Url Count: 1
61) Domain: https://seekingalpha.com, Url Count: 1
62) Domain: http://www.senseoncents.com, Url Count: 1001
63) Domain: http://www.simplyrecipes.com/, Url Count: 1001
64) Domain: http://www.skattertech.com/, Url Count: 1001
65) Domain: http://www.smashingmagazine.com/, Url Count: 1001
66) Domain: http://www.soxaholix.com, Url Count: 1
67) Domain: http://www.survivinggrady.com, Url Count: 1
68) Domain: http://mediabistro.com, Url Count: 1
69) Domain: http://techcrunch.com, Url Count: 1001
70) Domain: https://thetehrantimes.tumblr.com, Url Count: 1001
71) Domain: https://torrentfreak.com/, Url Count: 1
72) Domain: http://www.underwearexpert.com, Url Count: 382
73) Domain: https://reason.com/volokh/, Url Count: 1
74) Domain: http://waitbutwhy.com, Url Count: 1
75) Domain: https://wattsupwiththat.com/http://barbaraempreendimentos.com.br, Url Count: 0
76) Domain: http://callierise.com, Url Count: 0
77) Domain: http://oatrofa.com, Url Count: 0
78) Domain: http://obstzumfelde.de, Url Count: 0
79) Domain: http://thealisonmarieblog.com, Url Count: 1
80) Domain: http://theamericanlawblog.com, Url Count: 0
81) Domain: http://theauntmomblog.com, Url Count: 1
82) Domain: http://thebackpainblog.com, Url Count: 0
83) Domain: http://thebingeblog.com, Url Count: 0
84) Domain: http://thebingeworthyblog.com, Url Count: 0
85) Domain: http://thebirddogblog.com, Url Count: 893
86) Domain: http://theblackhoodieblog.com, Url Count: 1
87) Domain: http://theblackpearlblog.com, Url Count: 0
88) Domain: http://theblaketeamrealestateblog.com, Url Count: 0
89) Domain: http://theblankblog.com, Url Count: 1
90) Domain: http://theblingfactorblog.com, Url Count: 67
91) Domain: http://theblog.dog, Url Count: 1
92) Domain: http://theblogbehindtheblog.com, Url Count: 0
93) Domain: http://theblogofdog.com, Url Count: 21
94) Domain: http://thecenterblog.com, Url Count: 815
95) Domain: http://thecharlestonrealestateblog.com, Url Count: 0
96) Domain: http://thecinemascope.com, Url Count: 0
97) Domain: http://theclutteredbrainblog.com, Url Count: 0
98) Domain: http://thecolorrainbow.com, Url Count: 5
99) Domain: http://thefitnessandhealthblog.com, Url Count: 0
100) Domain: http://theflightfiles.com, Url Count: 1
101) Domain: http://thegoodjourneyblog.com, Url Count: 1
102) Domain: http://thegreenicon.com, Url Count: 1
103) Domain: http://thegulahome.com, Url Count: 0
104) Domain: http://theheartblog.co.uk, Url Count: 0
